,Flag,Location,Cases,Deaths,Recov.,"Ref.
",Death Rate,Recovery Rate
83,//upload.wikimedia.org/wikipedia/commons/thumb/6/66/Flag_of_Malaysia.svg/23px-Flag_of_Malaysia.svg.png,"Malaysia
","54,775",335,"41,597",[126],0.61,76
84,//upload.wikimedia.org/wikipedia/commons/thumb/7/79/Flag_of_North_Macedonia.svg/23px-Flag_of_North_Macedonia.svg.png,"North Macedonia
","54,743","1,511","32,366",[127][128],2.76,59
85,//upload.wikimedia.org/wikipedia/commons/thumb/1/19/Flag_of_Ghana.svg/23px-Flag_of_Ghana.svg.png,"Ghana
","50,717",323,"49,281",[129],0.64,97
86,//upload.wikimedia.org/wikipedia/commons/thumb/1/11/Flag_of_Lithuania.svg/23px-Flag_of_Lithuania.svg.png,"Lithuania
","47,047",386,"10,945",[130][131],0.82,23
87,//upload.wikimedia.org/wikipedia/commons/thumb/2/28/Flag_of_Puerto_Rico.svg/23px-Flag_of_Puerto_Rico.svg.png,"Puerto Rico
","45,268","1,012",None,[132][133],0.0,0
88,//upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Afghanistan.svg/23px-Flag_of_Afghanistan.svg.png,"Afghanistan
","44,771","1,695","35,942",[134],3.79,80
89,//upload.wikimedia.org/wikipedia/commons/thumb/3/34/Flag_of_El_Salvador.svg/23px-Flag_of_El_Salvador.svg.png,"El Salvador
","37,250","1,070","33,984",[135],2.87,91
90,//upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Flag_of_Kosovo.svg/21px-Flag_of_Kosovo.svg.png,"Kosovo
","34,295",914,"21,043",[136],2.67,61
91,//upload.wikimedia.org/wikipedia/commons/thumb/3/36/Flag_of_Albania.svg/21px-Flag_of_Albania.svg.png,"Albania
","32,761",699,"15,842",[137][138],2.13,48
92,//upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Norway.svg/21px-Flag_of_Norway.svg.png,Norway,"32,352",306,"20,956",[141],0.95,65
93,//upload.wikimedia.org/wikipedia/commons/thumb/6/64/Flag_of_Montenegro.svg/23px-Flag_of_Montenegro.svg.png,"Montenegro
","31,062",439,"19,491",[142],1.41,63
94,//upload.wikimedia.org/wikipedia/commons/thumb/0/09/Flag_of_South_Korea.svg/23px-Flag_of_South_Korea.svg.png,"South Korea
","31,004",509,"26,539",[143][144],1.64,86
95,//upload.wikimedia.org/wikipedia/commons/thumb/d/da/Flag_of_Luxembourg.svg/23px-Flag_of_Luxembourg.svg.png,"Luxembourg
","30,333",260,"20,014",[145],0.86,66
96,//upload.wikimedia.org/wikipedia/commons/thumb/8/88/Flag_of_Australia_%28converted%29.svg/23px-Flag_of_Australia_%28converted%29.svg.png,Australia,"27,807",907,"25,338",[146],3.26,91
97,//upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Flag_of_Cameroon.svg/23px-Flag_of_Cameroon.svg.png,"Cameroon
","22,692",433,"21,510",[147][148],1.91,95
98,//upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Finland.svg/23px-Flag_of_Finland.svg.png,Finland,"21,216",375,"15,300",[151],1.77,72
99,//upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_C%C3%B4te_d%27Ivoire.svg/23px-Flag_of_C%C3%B4te_d%27Ivoire.svg.png,"Ivory Coast
","21,126",129,"20,777",[152],0.61,98
100,//upload.wikimedia.org/wikipedia/commons/thumb/1/11/Flag_of_Sri_Lanka.svg/23px-Flag_of_Sri_Lanka.svg.png,"Sri Lanka
","20,171",87,"14,069",[153][154],0.43,70
101,//upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Flag_of_Uganda.svg/23px-Flag_of_Uganda.svg.png,"Uganda
","17,968",172,"8,611",[155][156],0.96,48
102,//upload.wikimedia.org/wikipedia/commons/thumb/0/06/Flag_of_Zambia.svg/23px-Flag_of_Zambia.svg.png,"Zambia
","17,394",356,"16,659",[157][158],2.05,96
103,//upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Madagascar.svg/23px-Flag_of_Madagascar.svg.png,"Madagascar
","17,310",250,"16,592",[159],1.44,96
